Date,Description,Debit,Credit
2025-05-09,STARBUCKS COFFEE,1018.84,
2025-05-09,ZOMATO ORDER,427.1,
2025-05-10,PETROL PUMP,297.24,
2025-05-11,RESTAURANT DINNER,1517.91,
2025-05-11,ZOMATO ORDER,353.95,
2025-05-11,UBER RIDE,1620.65,
2025-05-12,YOUTUBE PREMIUM,129.0,
2025-05-13,AMAZON SHOPPING,1372.8,
2025-05-13,SUPERMARKET GROCERIES,1185.5895813088853,
2025-05-14,UBER RIDE,721.81,
2025-05-15,MOVIE TICKETS,1535.97,
2025-05-16,NETFLIX.COM SUBSCRIPTION REF 5273,199.0,
2025-05-16,LAUNDRY SERVICE,930.59,
2025-05-17,RESTAURANT DINNER,1604.47,
2025-05-17,PHARMACY,1801.7,
2025-05-17,PHARMACY,865.47,
2025-05-17,STARBUCKS COFFEE,74.88,
2025-05-18,UBER RIDE,1632.97,
2025-05-18,LAUNDRY SERVICE,284.43,
2025-05-18,UBER RIDE,1692.9,
2025-05-19,PETROL PUMP,353.63,
2025-05-20,RESTAURANT DINNER,396.4,
2025-05-20,SUPERMARKET GROCERIES,1093.1714771195302,
2025-05-22,AMAZON SHOPPING,1835.71,
2025-05-23,LAUNDRY SERVICE,401.72,
2025-05-23,ZOMATO ORDER,1653.36,
2025-05-23,UBER RIDE,1025.92,
2025-05-24,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-05-25,STARBUCKS COFFEE,1690.29,
2025-05-25,UBER RIDE,597.0,
2025-05-27,SUPERMARKET GROCERIES,1182.644041757873,
2025-05-27,MOVIE TICKETS,1946.64,
2025-05-28,BOOKSTORE,774.69,
2025-05-29,PETROL PUMP,1304.45,
2025-05-29,CORPORATE SALARY CREDIT,,50000.0
2025-06-01,UBER RIDE,1607.98,
2025-06-02,PHARMACY,739.63,
2025-06-02,UBER RIDE,1007.46,
2025-06-02,AMAZON SHOPPING,576.14,
2025-06-03,SPOTIFY PREMIUM REF 3593,149.0,
2025-06-03,SUPERMARKET GROCERIES,1185.2406401563028,
2025-06-04,MONTHLY RENT PAYMENT,15000.0,
2025-06-04,PETROL PUMP,107.38,
2025-06-04,ZOMATO ORDER,1072.9,
2025-06-05,AMAZON PRIME VIDEO,179.0,
2025-06-06,UBER RIDE,1304.59,
2025-06-06,ZOMATO ORDER,1118.76,
2025-06-07,PETROL PUMP,411.8,
2025-06-08,AMAZON SHOPPING,1174.92,
2025-06-08,UBER RIDE,709.09,
2025-06-10,SUPERMARKET GROCERIES,998.4960502138503,
2025-06-11,YOUTUBE PREMIUM REF 3523,129.0,
2025-06-11,PHARMACY,1039.74,
2025-06-11,RESTAURANT DINNER,241.17,
2025-06-12,STARBUCKS COFFEE,970.61,
2025-06-12,AMAZON SHOPPING,1758.21,
2025-06-15,BOOKSTORE,781.46,
2025-06-15,NETFLIX.COM SUBSCRIPTION REF 8590,199.0,
2025-06-16,PHARMACY,522.98,
2025-06-16,STARBUCKS COFFEE,1457.82,
2025-06-16,ZOMATO ORDER,1402.72,
2025-06-17,LAUNDRY SERVICE,1327.96,
2025-06-17,UBER RIDE,1091.93,
2025-06-17,SUPERMARKET GROCERIES,1154.4066837226558,
2025-06-17,STARBUCKS COFFEE,51.13,
2025-06-18,LAUNDRY SERVICE,1502.39,
2025-06-21,PHARMACY,1554.45,
2025-06-23,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-06-24,LAUNDRY SERVICE,1234.89,
2025-06-24,MOVIE TICKETS,574.61,
2025-06-24,SUPERMARKET GROCERIES,1236.5102451767823,
2025-06-25,AMAZON SHOPPING,1973.78,
2025-06-26,UBER RIDE,1211.73,
2025-06-26,STARBUCKS COFFEE,240.95,
2025-06-27,PHARMACY,1341.14,
2025-06-27,RESTAURANT DINNER,412.38,
2025-06-29,LAUNDRY SERVICE,1115.64,
2025-06-30,CORPORATE SALARY CREDIT,,50000.0
2025-06-30,PHARMACY,1533.57,
2025-07-01,SUPERMARKET GROCERIES,1013.1522156979024,
2025-07-03,SPOTIFY PREMIUM,149.0,
2025-07-04,AMAZON SHOPPING,1014.67,
2025-07-04,MONTHLY RENT PAYMENT,15000.0,
2025-07-05,AMAZON PRIME VIDEO REF 9070,179.0,
2025-07-05,PHARMACY,1235.53,
2025-07-07,AMAZON SHOPPING,558.41,
2025-07-08,BOOKSTORE,761.46,
2025-07-08,SUPERMARKET GROCERIES,833.4554159533284,
2025-07-09,PETROL PUMP,457.86,
2025-07-11,YOUTUBE PREMIUM,129.0,
2025-07-13,BOOKSTORE,1515.69,
2025-07-15,SUPERMARKET GROCERIES,1453.8289247729415,
2025-07-15,NETFLIX.COM SUBSCRIPTION,199.0,
2025-07-16,UBER RIDE,786.94,
2025-07-16,RESTAURANT DINNER,618.56,
2025-07-17,STARBUCKS COFFEE,1611.95,
2025-07-17,PETROL PUMP,603.71,
2025-07-18,ZOMATO ORDER,1227.34,
2025-07-19,AMAZON SHOPPING,1535.69,
2025-07-21,PETROL PUMP,911.99,
2025-07-22,SUPERMARKET GROCERIES,1361.313617426103,
2025-07-22,STARBUCKS COFFEE,1553.94,
2025-07-23,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-07-23,RESTAURANT DINNER,657.44,
2025-07-24,PETROL PUMP,833.25,
2025-07-24,PHARMACY,169.45,
2025-07-26,PHARMACY,1109.04,
2025-07-27,PHARMACY,703.39,
2025-07-27,ZOMATO ORDER,678.98,
2025-07-28,AMAZON SHOPPING,118.39,
2025-07-28,AMAZON SHOPPING,966.26,
2025-07-29,SUPERMARKET GROCERIES,1315.8869914766046,
2025-07-30,CORPORATE SALARY CREDIT,,50000.0
2025-07-31,AMAZON SHOPPING,1292.69,
2025-07-31,STARBUCKS COFFEE,275.25,
2025-08-01,AMAZON SHOPPING,265.04,
2025-08-01,LAUNDRY SERVICE,1571.0,
2025-08-02,SPOTIFY PREMIUM,149.0,
2025-08-02,MOVIE TICKETS,1734.99,
2025-08-02,LAUNDRY SERVICE,1816.31,
2025-08-03,MONTHLY RENT PAYMENT,15000.0,
2025-08-04,AMAZON PRIME VIDEO,179.0,
2025-08-04,MOVIE TICKETS,1888.53,
2025-08-05,SUPERMARKET GROCERIES,1216.8791442618353,
2025-08-08,PETROL PUMP,115.47,
2025-08-09,MOVIE TICKETS,1983.88,
2025-08-09,UBER RIDE,1977.12,
2025-08-10,YOUTUBE PREMIUM,129.0,
2025-08-12,SUPERMARKET GROCERIES,941.3361435596353,
2025-08-12,AMAZON SHOPPING,935.74,
2025-08-13,STARBUCKS COFFEE,865.38,
2025-08-14,BOOKSTORE,449.06,
2025-08-14,NETFLIX.COM SUBSCRIPTION,199.0,
2025-08-15,LAUNDRY SERVICE,67.53,
2025-08-16,MOVIE TICKETS,326.49,
2025-08-17,PHARMACY,659.8,
2025-08-17,UBER RIDE,1756.35,
2025-08-19,SUPERMARKET GROCERIES,923.0251298907367,
2025-08-19,PETROL PUMP,413.16,
2025-08-19,PETROL PUMP,1172.5,
2025-08-20,PETROL PUMP,1399.07,
2025-08-21,LAUNDRY SERVICE,983.18,
2025-08-21,RESTAURANT DINNER,1481.57,
2025-08-21,MOVIE TICKETS,1408.91,
2025-08-22,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-08-22,ZOMATO ORDER,1901.91,
2025-08-26,BOOKSTORE,1294.14,
2025-08-26,SUPERMARKET GROCERIES,881.8292704472253,
2025-08-27,MOVIE TICKETS,1860.89,
2025-08-27,LAUNDRY SERVICE,1065.92,
2025-08-28,RESTAURANT DINNER,281.54,
2025-08-28,CORPORATE SALARY CREDIT,,50000.0
2025-08-30,AMAZON SHOPPING,942.77,
2025-08-31,STARBUCKS COFFEE,819.35,
2025-09-01,UBER RIDE,1503.29,
2025-09-01,PHARMACY,892.01,
2025-09-01,SPOTIFY PREMIUM,149.0,
2025-09-02,SUPERMARKET GROCERIES,1486.0985632060617,
2025-09-02,MONTHLY RENT PAYMENT,15000.0,
2025-09-03,AMAZON PRIME VIDEO,179.0,
2025-09-03,PETROL PUMP,1220.03,
2025-09-04,PHARMACY,798.7,
2025-09-05,RESTAURANT DINNER,1925.12,
2025-09-05,PHARMACY,401.69,
2025-09-06,STARBUCKS COFFEE,1140.59,
2025-09-08,PETROL PUMP,1988.0,
2025-09-09,SUPERMARKET GROCERIES,1378.3689318834158,
2025-09-09,YOUTUBE PREMIUM,129.0,
2025-09-09,AMAZON SHOPPING,212.2,
2025-09-10,ZOMATO ORDER,1601.79,
2025-09-13,LAUNDRY SERVICE,1160.77,
2025-09-13,UBER RIDE,1609.72,
2025-09-13,NETFLIX.COM SUBSCRIPTION,199.0,
2025-09-14,PHARMACY,426.35,
2025-09-14,MOVIE TICKETS,61.41,
2025-09-15,PHARMACY,97.75,
2025-09-16,AMAZON SHOPPING,196.64,
2025-09-16,SUPERMARKET GROCERIES,1103.268061790392,
2025-09-16,PHARMACY,1085.6,
2025-09-16,PETROL PUMP,281.11,
2025-09-16,PETROL PUMP,1931.1,
2025-09-18,BOOKSTORE,874.42,
2025-09-18,RESTAURANT DINNER,1728.51,
2025-09-19,RESTAURANT DINNER,1899.31,
2025-09-20,BOOKSTORE,573.42,
2025-09-21,PETROL PUMP,1935.52,
2025-09-21,PHARMACY,1014.7,
2025-09-21,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-09-23,SUPERMARKET GROCERIES,1472.3571794144937,
2025-09-23,MOVIE TICKETS,596.68,
2025-09-25,PHARMACY,334.57,
2025-09-26,PETROL PUMP,805.54,
2025-09-26,STARBUCKS COFFEE,1693.51,
2025-09-27,UBER RIDE,1013.61,
2025-09-27,MOVIE TICKETS,1733.24,
2025-09-28,CORPORATE SALARY CREDIT,,50000.0
2025-09-29,RESTAURANT DINNER,1967.83,
2025-09-30,SUPERMARKET GROCERIES,833.2518735705671,
2025-10-01,BOOKSTORE,1761.9,
2025-10-01,PHARMACY,1847.21,
2025-10-01,SPOTIFY PREMIUM,149.0,
2025-10-02,MONTHLY RENT PAYMENT,15000.0,
2025-10-03,BOOKSTORE,1655.9,
2025-10-03,ZOMATO ORDER,944.84,
2025-10-03,AMAZON PRIME VIDEO,179.0,
2025-10-04,STARBUCKS COFFEE,1946.8,
2025-10-05,UBER RIDE,1476.71,
2025-10-07,SUPERMARKET GROCERIES,1007.6942424516878,
2025-10-07,PHARMACY,691.0,
2025-10-08,MOVIE TICKETS,679.77,
2025-10-09,YOUTUBE PREMIUM,129.0,
2025-10-12,AMAZON SHOPPING,1199.16,
2025-10-13,PHARMACY,411.82,
2025-10-13,NETFLIX.COM SUBSCRIPTION REF 4939,199.0,
2025-10-13,LAUNDRY SERVICE,596.66,
2025-10-14,SUPERMARKET GROCERIES,1265.0346179202731,
2025-10-16,LAUNDRY SERVICE,432.82,
2025-10-17,ZOMATO ORDER,214.59,
2025-10-18,MOVIE TICKETS,1674.99,
2025-10-19,LAUNDRY SERVICE,1414.24,
2025-10-19,ZOMATO ORDER,897.92,
2025-10-19,RESTAURANT DINNER,1562.72,
2025-10-21,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-10-21,SUPERMARKET GROCERIES,1493.7383047009016,
2025-10-22,BOOKSTORE,471.16,
2025-10-24,AMAZON SHOPPING,1799.86,
2025-10-25,STARBUCKS COFFEE,1849.62,
2025-10-26,MOVIE TICKETS,1543.21,
2025-10-26,LAUNDRY SERVICE,1462.87,
2025-10-26,RESTAURANT DINNER,993.24,
2025-10-26,MOVIE TICKETS,1722.41,
2025-10-27,BOOKSTORE,274.52,
2025-10-28,PHARMACY,1088.68,
2025-10-28,SUPERMARKET GROCERIES,809.7167752966556,
2025-10-29,BOOKSTORE,1598.62,
2025-10-29,UBER RIDE,1223.06,
2025-10-29,PETROL PUMP,1763.28,
2025-10-30,CORPORATE SALARY CREDIT,,50000.0
2025-10-30,RESTAURANT DINNER,737.49,
2025-10-31,SPOTIFY PREMIUM,149.0,
2025-11-01,MONTHLY RENT PAYMENT,15000.0,
2025-11-02,AMAZON PRIME VIDEO REF 7345,179.0,
2025-11-02,PHARMACY,159.96,
2025-11-02,RESTAURANT DINNER,1129.59,
2025-11-04,RESTAURANT DINNER,1747.28,
2025-11-04,AMAZON SHOPPING,469.69,
2025-11-04,AMAZON SHOPPING,1542.26,
2025-11-04,SUPERMARKET GROCERIES,1173.311841505518,
2025-11-05,BOOKSTORE,1967.73,
2025-11-05,BOOKSTORE,1025.12,
2025-11-06,LAUNDRY SERVICE,1454.0,
2025-11-08,LAUNDRY SERVICE,1970.21,
2025-11-08,YOUTUBE PREMIUM REF 5993,129.0,
2025-11-09,PETROL PUMP,288.28,
2025-11-09,PHARMACY,866.92,
2025-11-10,PETROL PUMP,1510.02,
2025-11-10,STARBUCKS COFFEE,133.26,
2025-11-10,MOVIE TICKETS,1354.04,
2025-11-11,SUPERMARKET GROCERIES,1480.9654184307265,
2025-11-12,LAUNDRY SERVICE,1723.77,
2025-11-12,NETFLIX.COM SUBSCRIPTION REF 6382,199.0,
2025-11-12,MOVIE TICKETS,1434.0,
2025-11-13,LAUNDRY SERVICE,991.17,
2025-11-15,MOVIE TICKETS,1289.86,
2025-11-16,RESTAURANT DINNER,1436.16,
2025-11-16,ZOMATO ORDER,1186.32,
2025-11-17,ZOMATO ORDER,1434.32,
2025-11-17,ZOMATO ORDER,678.81,
2025-11-18,SUPERMARKET GROCERIES,1402.138461548112,
2025-11-18,STARBUCKS COFFEE,1431.23,
2025-11-19,UBER RIDE,1043.86,
2025-11-19,ZOMATO ORDER,733.7,
2025-11-20,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-11-20,MOVIE TICKETS,1656.79,
2025-11-20,PHARMACY,107.22,
2025-11-21,ZOMATO ORDER,1067.67,
2025-11-22,LAUNDRY SERVICE,1391.86,
2025-11-25,SUPERMARKET GROCERIES,1445.5064086487303,
2025-11-27,UBER RIDE,1253.4,
2025-11-27,AMAZON SHOPPING,266.75,
2025-11-28,RESTAURANT DINNER,1593.27,
2025-11-28,ZOMATO ORDER,466.31,
2025-11-29,AMAZON SHOPPING,1297.75,
2025-11-29,AMAZON SHOPPING,1579.82,
2025-11-30,MOVIE TICKETS,645.13,
2025-11-30,LAUNDRY SERVICE,329.37,
2025-11-30,CORPORATE SALARY CREDIT,,50000.0
2025-11-30,SPOTIFY PREMIUM,149.0,
2025-12-01,MONTHLY RENT PAYMENT,15000.0,
2025-12-01,UBER RIDE,962.53,
2025-12-01,AMAZON SHOPPING,1424.65,
2025-12-02,SUPERMARKET GROCERIES,1179.2343392038222,
2025-12-02,AMAZON PRIME VIDEO,179.0,
2025-12-03,LAUNDRY SERVICE,801.81,
2025-12-04,LAUNDRY SERVICE,1559.3,
2025-12-06,MOVIE TICKETS,943.44,
2025-12-07,PHARMACY,451.6,
2025-12-08,PETROL PUMP,87.86,
2025-12-08,YOUTUBE PREMIUM,129.0,
2025-12-09,SUPERMARKET GROCERIES,886.2500996945474,
2025-12-09,RESTAURANT DINNER,1438.43,
2025-12-10,STARBUCKS COFFEE,612.66,
2025-12-11,ZOMATO ORDER,108.77,
2025-12-11,LAUNDRY SERVICE,1076.66,
2025-12-11,LAUNDRY SERVICE,171.99,
2025-12-12,LAUNDRY SERVICE,405.31,
2025-12-12,ZOMATO ORDER,581.04,
2025-12-12,ZOMATO ORDER,744.7,
2025-12-12,NETFLIX.COM SUBSCRIPTION,199.0,
2025-12-12,LAUNDRY SERVICE,1794.69,
2025-12-13,PHARMACY,94.83,
2025-12-13,BOOKSTORE,1782.7,
2025-12-13,MOVIE TICKETS,1035.43,
2025-12-13,PETROL PUMP,1696.01,
2025-12-15,AMAZON SHOPPING,1691.09,
2025-12-15,ZOMATO ORDER,567.84,
2025-12-16,SUPERMARKET GROCERIES,1280.1822401460431,
2025-12-17,PETROL PUMP,822.1,
2025-12-20,PHARMACY,877.25,
2025-12-20,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-12-22,PHARMACY,1800.19,
2025-12-22,LAUNDRY SERVICE,1228.17,
2025-12-22,PETROL PUMP,598.35,
2025-12-23,SUPERMARKET GROCERIES,852.1258698101318,
2025-12-26,UBER RIDE,1546.35,
2025-12-27,RESTAURANT DINNER,448.19,
2025-12-27,RESTAURANT DINNER,268.85,
2025-12-28,CORPORATE SALARY CREDIT,,50000.0
2025-12-30,SPOTIFY PREMIUM,149.0,
2025-12-30,SUPERMARKET GROCERIES,1340.4668995478303,
2025-12-31,MONTHLY RENT PAYMENT,15000.0,
2025-12-31,STARBUCKS COFFEE,1089.26,
2026-01-01,AMAZON PRIME VIDEO,179.0,
2026-01-02,LAUNDRY SERVICE,199.83,
2026-01-03,AMAZON SHOPPING,1633.61,
2026-01-04,PHARMACY,1364.57,
2026-01-04,PETROL PUMP,539.46,
2026-01-04,PHARMACY,1540.99,
2026-01-05,PHARMACY,511.84,
2026-01-05,BOOKSTORE,415.45,
2026-01-05,STARBUCKS COFFEE,167.39,
2026-01-06,SUPERMARKET GROCERIES,1413.6349382873884,
2026-01-07,MOVIE TICKETS,365.7,
2026-01-07,YOUTUBE PREMIUM REF 3534,129.0,
2026-01-08,LAUNDRY SERVICE,1534.51,
2026-01-08,PHARMACY,698.25,
2026-01-08,BOOKSTORE,71.49,
2026-01-11,NETFLIX.COM SUBSCRIPTION,199.0,
2026-01-12,UBER RIDE,931.11,
2026-01-13,SUPERMARKET GROCERIES,855.013364399758,
2026-01-14,BOOKSTORE,1541.25,
2026-01-15,AMAZON SHOPPING,611.22,
2026-01-16,ZOMATO ORDER,834.3,
2026-01-16,LAUNDRY SERVICE,414.31,
2026-01-17,AMAZON SHOPPING,376.43,
2026-01-17,PETROL PUMP,359.4,
2026-01-17,STARBUCKS COFFEE,1765.93,
2026-01-18,MOVIE TICKETS,1099.98,
2026-01-18,RESTAURANT DINNER,1532.96,
2026-01-19,BOOKSTORE,69.05,
2026-01-19,LAUNDRY SERVICE,350.88,
2026-01-19,GYM MEMBERSHIP AUTOPAY,1200.0,
2026-01-19,BOOKSTORE,296.88,
2026-01-20,SUPERMARKET GROCERIES,1007.3916073411345,
2026-01-21,LAUNDRY SERVICE,1101.79,
2026-01-21,MOVIE TICKETS,297.82,
2026-01-21,RESTAURANT DINNER,1463.41,
2026-01-23,RESTAURANT DINNER,943.97,
2026-01-25,AMAZON SHOPPING,257.25,
2026-01-27,LAUNDRY SERVICE,197.9,
2026-01-27,SUPERMARKET GROCERIES,1115.2493385935318,
2026-01-27,PHARMACY,347.16,
2026-01-27,UBER RIDE,1431.62,
2026-01-28,AMAZON SHOPPING,1627.08,
2026-01-28,BOOKSTORE,1844.93,
2026-01-28,BOOKSTORE,380.59,
2026-01-28,PHARMACY,267.8,
2026-01-28,CORPORATE SALARY CREDIT,,50000.0
